"ID","Owner","Created Date","Updated Date","Submission Time","Ingredient Name","Multi Selection Field 2","Multi Selection Field 3","Multi Selection Field 4","Multi Selection Field 5","Paragraph Field","Multi Selection Field","Multi Selection Field 6","Multi Selection Field 7","Short Text Field"
"c0e5266f-3a6b-455d-8e3f-ddb7f5712f8a","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Ginseng","Mature & Aging Skin",,,,,"Promote brightening",,,
"5d0b0c51-e344-48e8-8383-ce2feb8b0dfd","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Glycerin","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin","Water Based",,"Oil & Water Soluble","NOT DONE YET","Moisturising,Humectant,Hydrating,Soothing,Calming",,,
"2b88e6f5-7b5e-4ff0-b5f4-3c8a9ddcaaae","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Grapeseed Oil","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin","Carrier Oil",,"Oil Soluble","NEED TO FIND","Moisturising,Emollient,Anti-inflammatory,Antioxidant,Astringent (improved elasticity),Protecting,Smoothing,Disinfecting,Purifying,Anti-aging","Fast absorbency,Light weight","1 very low likelihood of clogging pores","15% for lotions, creams, aged-skin care gel"
"dd4023fa-2b12-4eb4-a93a-2c79a7d3a0cb","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Green Tea Extract","Sensitive & Eczema Prone Skin,Oily & Acne Prone Skin","Extract",,"Water Soluble","NOT DONE YET","Anti-inflammatory,Soothing,Calming",,,
"b58da66f-b4ae-4c6c-99cd-023bbdf5666b","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Hazelnut Oil","Mature & Aging Skin,Oily & Acne Prone Skin","Carrier Oil",,"Oil Soluble","Nut Oil
Should be avoided by those with nut allergies","Moisturising,Reduce pore size,Emollient,Astringent (improved elasticity),Balance sebum production,Astringent (contracts & tones skin tissues)","Medium absorbency",,
"c0c634fe-51c8-4298-976e-90842860bc21","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Hemp Seed","Dry Skin,Sensitive & Eczema Prone Skin,Oily & Acne Prone Skin","Carrier Oil",,"Oil Soluble","NOT DONE YET","Moisturising,Emollient,Hydrating,Soothing,Balance sebum production,Calming","Fast absorbency","0 won’t clog pores at all",
"102d83c9-cd7c-4f4d-8853-b69de9c095a6","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Hibiscus Extract","Mature & Aging Skin","Extract",,,,"Promotes collagen production,Promote brightening",,,
"c59b2b3d-079d-414e-b1fc-13a25df5ca00","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Horse Chestnut Extract","Oily & Acne Prone Skin","Extract",,,,"Balance sebum production",,,
"6149cd7f-468d-4b33-a3a5-2eddb560ab10","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Hyaluronic Acid","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin","High Performance",,"Water Soluble","NOT DONE YET","Moisturising,Humectant,Hydrating,Soothing,Plumps skin,Calming,Smoothing",,,"Use only at low concentration"
"3343f7fa-fb2a-4667-bd45-db0dc6a62897","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Hydrolyzed Wheat Protein","Dry Skin",,,,,"Film forming (hydrolysed proteins)",,,
"e78b665e-6f0a-46d3-8349-1fc701fedce8","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Jasmine","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin","Essential Oil","Base","Oil Soluble","Do not use in pregnancy until the birthing process has started","Anti-inflammatory,Antiseptic,Smoothing",,,
"39d504ff-20a9-4e88-ba2d-3699318eeff2","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Jojoba Oil","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin","Carrier Oil",,"Oil Soluble","Jojoba Oil is known to be safe for most people to use, when applied topically; however, in some instances, it can potentially cause side effects such as rashes. It is recommended that a small skin patch test is conducted on the inner arm to test for any allergic responses. In the event of an allergic reaction, discontinue use of the product. Side effects caused by the use of Jojoba Oil may alternatively be caused by other oils that might have been combined with it, such as in a massage blend.","Moisturising,Emollient,Occlusive,Hydrating,Anti-inflammatory,Soothing,Antioxidant,Astringent (improved elasticity),Balance sebum production,Astringent (contracts & tones skin tissues),Antibacterial,Antiseptic,Nourishing,Calming,Smoothing,Eczema,Softening","Medium absorbency,Light weight","1 very low likelihood of clogging pores",
"e8cde2dd-c617-4214-a797-9f3429ba9f13","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Kaolin Clay","Oily & Acne Prone Skin",,,,,"Reduce shine (absorbs oil on skin's surface)",,,
"5bbb39ca-9c12-40da-9efe-881dcfbe09a6","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Kojic Acid","Mature & Aging Skin",,,,,"Age spot appearance reduction,Skin lightening",,,
"473a0f05-34d5-4de0-936b-1c63d69663ba","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Lactic Acid","Oily & Acne Prone Skin",,,,,"Exfoliating",,,
"111e443f-7ee2-497d-a1e7-d0ca6494088d","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-25T08:04:24Z,,"Lavender Essential Oil","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin",,"Middle","Oil Soluble","No known contraindications

Can cause dermatitis if overused","Anti-inflammatory,Cytophylactic,Antiseptic,Smoothing,Tissue & Cell Regeneration",,,
"1a8cc8ac-9e34-4160-ba47-6d09354b0da0","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Lemon Essential Oil","Oily & Acne Prone Skin","Essential Oil","Top","Oil Soluble","PHOTOTOXIC PLUS NOT DONE YET","Astringent (contracts & tones skin tissues),Antibacterial,Antiseptic",,,
"a93884e0-c732-404a-b9ca-cc1a4061966f","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Lemongrass","Oily & Acne Prone Skin","Essential Oil","Top","Oil Soluble","May irritate sensitive skin","Reduce pore size,Astringent (improved elasticity),Promote brightening,Astringent (contracts & tones skin tissues),Antibacterial,Antiseptic",,,
"8bd74ca6-a108-4a65-b277-893901955b45","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Linseed","Mature & Aging Skin","Carrier Oil",,,,,,,
"451c1a1c-28dd-4483-bb97-73e2166babbb","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Liquorice Extract","Mature & Aging Skin","Extract",,,,"Promote brightening",,,
"aed7daa4-40c0-4261-8ccb-1b126fe38a0e","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Macadamia Oil","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin","Carrier Oil",,"Oil Soluble","Nut Oil - Avoid if suffer from nut allergy","Moisturising,Emollient,Hydrating,Soothing,Antioxidant,Antibacterial,Protecting,Smoothing,Tissue & Cell Regeneration","Medium absorbency","3 moderate likelihood",
"8216dad1-cf41-4f9b-a67c-26f0c93abeb2","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Mallotus Bark","Mature & Aging Skin","Extract",,,,"Promotes collagen production",,,
"ce810a5d-b910-4694-bff8-3f95cb1f6080",,2019-04-21T03:51:32Z,2019-04-21T03:51:32Z,2019-04-21T03:51:31Z,"Apricot Kernel Oil","Mature & Aging","Carrier Oil",,"Oil Soluble","Not done yet","Collagen promotion","Light weight","0 - won't clog pores","15% - may need to delete this entry "
"f1671575-7b65-4045-9691-30a98203e868",,2019-04-21T03:13:52Z,2019-04-21T03:13:52Z,2019-04-21T03:13:51Z,"Apricot Kernel Oil",,,,,,"Collagen promotion",,,
