INGREDIENT COMMON NAME,INGREDIENT INCI NAME,In Stock,Quantity in Stock (in grams),Supplier Name,CAS NO.,NICNAS Check Completed,Product Type,Skin Type,TYPE OF INGREDIENT,ESSENTIAL OIL NOTE,Solubility,Ingredient Benefits,SKIN PROBLEM,CONTRAINDICATIONS,Contraindications detailed,VISCOSITY,ABSORPTION RATE,COMEDOGENIC RATING,Composition,Recommended Concentration,Allergens,Relevant References,Other Important Information,4,K
Jojoba Oil,Simmondsia chinensis seed oil,Yes,,,,,,"Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin,Normal Skin,Combination","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Anti-inflammatory,Antioxidant,Promotes collagen production,Balance sebum production,Antibacterial,Elasticity","Dry,Flaking,Itching,Fine lines,Wrinkles,Oily (overproduction of sebum),Predisposed to acne,Scarring,Dry and/or flaky on some portions of skin,Excessive oil on some parts (possibly in T-zone),Eczema",,"Jojoba Oil is known to be safe for most people to use, when applied topically; however, in some instances, it can potentially cause side effects such as rashes. It is recommended that a small skin patch test is conducted on the inner arm to test for any allergic responses. In the event of an allergic reaction, discontinue use of the product. Side effects caused by the use of Jojoba Oil may alternatively be caused by other oils that might have been combined with it, such as in a massage blend.",Medium,Medium,2,,,,"<a href=""https://doi.org/10.25251/2.5.1"">Collagen promoting - Vaughn, A., Nguyen, M., Maarouf, M., Van Skiver, M., Tran, K., Rybak, I., Sivamani, R., & Shi, V. (2018). Multi-Center Randomized Clinical Study of The Effects of Natural Oils on Xerosis and Skin Barrier Properties. SKIN The Journal of Cutaneous Medicine, 2(5). doi:https://doi.org/10.25251/2.5.1
Supports inflammation regulation - Pazyar, N., Yaghoobi, R., Ghassemi, M., Kazerouni, A., Rafeie, E., & Jamshydian, N. (2013). Jojoba in dermatology: a succinct review. Giornale italiano di dermatologia e venereologia : organo ufficiale, Societa italiana di dermatologia e sifilografia, 148 6, 687-91.
Supports acne control - Meier, L.; Stange, R.; Michalsen, A.; Uehleke, B. Clay jojoba oil facial mask for lesioned skin and mild acne—Results of a prospective, observational pilot study. Forsch Komplementmed 2012, 19, 75–79.</a>","Ben - balancing, softening, improves elasticity, antifungal
Absorption : fast, lift and versatile (check downloaded table)
FA - Gadoleic, tannins
Other - assists with the breakdown of sebum that has clogged pores",,
Jojoba Oil Golden,Simmondsia chinensis (Jojoba) oil (certified organic),Yes,500,AWO,,No,"Anhydrous,Emulsion","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin,Normal Skin,Combination","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Anti-inflammatory,Antioxidant,Promotes collagen production,Balance sebum production,Antibacterial,Elasticity","Dry,Flaking,Itching,Fine lines,Wrinkles,Oily (overproduction of sebum),Predisposed to acne,Scarring,Dry and/or flaky on some portions of skin,Excessive oil on some parts (possibly in T-zone),Eczema",,"Jojoba Oil is known to be safe for most people to use, when applied topically; however, in some instances, it can potentially cause side effects such as rashes. It is recommended that a small skin patch test is conducted on the inner arm to test for any allergic responses. In the event of an allergic reaction, discontinue use of the product. Side effects caused by the use of Jojoba Oil may alternatively be caused by other oils that might have been combined with it, such as in a massage blend.",Medium,Medium,2,,,,"<a href=""https://doi.org/10.25251/2.5.1"">Collagen promoting - Vaughn, A., Nguyen, M., Maarouf, M., Van Skiver, M., Tran, K., Rybak, I., Sivamani, R., & Shi, V. (2018). Multi-Center Randomized Clinical Study of The Effects of Natural Oils on Xerosis and Skin Barrier Properties. SKIN The Journal of Cutaneous Medicine, 2(5). doi:https://doi.org/10.25251/2.5.1
Supports inflammation regulation - Pazyar, N., Yaghoobi, R., Ghassemi, M., Kazerouni, A., Rafeie, E., & Jamshydian, N. (2013). Jojoba in dermatology: a succinct review. Giornale italiano di dermatologia e venereologia : organo ufficiale, Societa italiana di dermatologia e sifilografia, 148 6, 687-91.
Supports acne control - Meier, L.; Stange, R.; Michalsen, A.; Uehleke, B. Clay jojoba oil facial mask for lesioned skin and mild acne—Results of a prospective, observational pilot study. Forsch Komplementmed 2012, 19, 75–79.</a>","Ben - balancing, softening, improves elasticity, antifungal
Absorption : fast, lift and versatile (check downloaded table)
FA - Gadoleic, tannins
Other - assists with the breakdown of sebum that has clogged pores",,
Kaolin Clay,,,,,,,,,,,,,,,,,,,,,,,,,
Kojic Acid,,,,,,,,Mature & Aging Skin,,,,,,,,,,,,,,,,,
Lactic Acid 90% (Purac PF 90),Lactic Acid,Yes,,AWO,,No,,,Aqueous high performance,,Water Soluble,,,,"None known

Safety: should not be applied directly onto the skin due to its strongly acidic nature it may cause burns",,,,,1-5%,,,Commonly used to adjust the pH levels of cosmetic formulations.,,
Lavender Essential Oil,Lavendula angustifolia (Lavender) essential oil (certified organic),Yes,,AWO,8000-28-0,,,,Essential Oil,Middle,Oil Soluble,"Anti-inflammatory,Cytophylactic,Antiseptic,Smoothing,Tissue & Cell Regeneration","Inflamed,Irritated,Itching,Redness,Predisposed to acne,Scarring,Skin cell regeneration/turnover slows down",Epilepsy,Can cause dermatitis if overused,,,,,,,https://shop.newdirections.com.au/epages/newdirections.mobile/en_AU/?ObjectPath=/Shops/newdirections/Products/OE6LAVEFREN,"Add:
promotes healthy skin growth,",,
Lavender Floral Water,Lavandula angustifolia (Lavender) floral water,Yes,,AWO,,No,,,Aqueous base,Middle,Water Soluble,"Reduce pore size,Anti-inflammatory,Cytophylactic,Antiseptic,Smoothing,Tissue & Cell Regeneration","Inflamed,Irritated,Itching,Redness,Enlarged pores,Predisposed to acne,Scarring,Skin cell regeneration/turnover slows down,Excessive oil on some parts (possibly in T-zone)",Epilepsy,Safe to apply directly to the skin and face.,,,,,,,,"Lavender Essential Oil (Lavandula angustifolia), UV treated water",,
Lemon Essential Oil,Citrus limonum (Lemon) oil (Cold Pressed) 100% pure essential oil,Yes,,AWO,8008-56-8,,"Anhydrous,Emulsion",,Essential Oil,Top,Oil Soluble,"Hydrating,Antioxidant,Balance sebum production,Astringent (contracts & tones skin tissues),Antibacterial,Antiseptic,Anti-aging","Fine dehydration lines,Loss of firmness & tone,Oily (overproduction of sebum),Enlarged pores,Predisposed to acne,Damage from sun/environment and lifestyle,Dehydrated",Phototoxic,PHOTOTOXIC PLUS NOT DONE YET,,,,,,,https://shop.newdirections.com.au/epages/newdirections.mobile/en_AU/?ObjectPath=/Shops/newdirections/Products/OE6LEMOAUST,"New Directions - In skin care, Lemon essential oil has been known to have astringent properties which can counter act overproduction of sebum.

Dr. Axe - reducing acne, nourishing damaged skin and hydrating the skin. Lab studies show that lemon oil is able to reduce cell and tissue damage in the skin that’s caused by free radicals. This is due to lemon oil’s strong antioxidant activity and anti-aging effects.",,
Lemongrass,Cymbpogon citratus/flexuosus,Yes,,AWO,8007-02-01,,"Anhydrous,Emulsion",Oily & Acne Prone Skin,Essential Oil,Top,Oil Soluble,,"Loss of firmness & tone,Dull complexion,Clogged pores/cell accumulation,Enlarged pores","Irritant,pregnancy","May irritate sensitive skin.

Avoid during pregnancy.",,,,,,,,,,
Linseed,,,,,,,,Mature & Aging Skin,"Carrier Oil,anhydrous base",,,,Inflamed,,,,,,,,,,,,
Liquorice Extract,,,,,,,,Mature & Aging Skin,"Extract,aqueous high performance",,,Promote brightening,Dull complexion,,,,,,,,,,,,
Macadamia,Macadamia integrifolia (Macadamia nut) oil,Yes,,AWO,,No,"Anhydrous,Emulsion","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Emollient,Hydrating,Soothing,Antioxidant,Antibacterial,Protecting,Smoothing,Tissue & Cell Regeneration","Dry,Flaking,Scaling,Peeling,Appears & Feels Rough,Itching,Redness,Predisposed to acne,Scarring,Skin cell regeneration/turnover slows down,Damage from sun/environment and lifestyle,Tightness,Dry and/or flaky on some portions of skin,Eczema",Nut allergy,Nut Oil - Avoid if suffer from nut allergy,Heavy,Slow,3,,,,https://cosmetics.specialchem.com/product/i-sio-super-refined-macadamia-nut-oil,"FA : Oleic
9% palmitic slows down the aging process
Anti aging and anti wrinkle 
Min - magnesium and thiamine
Thick and dry oil 
Medium and rate 
Ben - rejuvenating 
Easily absorbed 
Not to be used for acne or oily prone skin
It can be used to create a silky smooth lotion, hydrating face cream and rich conditioner. Super Refined Macadamia Nut Oil is used in anti-aging, skin care (SpecialChem)",,
Mallotus Bark,,,,,,,,Mature & Aging Skin,"Extract,aqueous high performance",,,Promotes collagen production,"Fine lines,Wrinkles",,,,,,,,,,,,
Mango Butter,,,,,,,,"Dry Skin,Sensitive & Eczema Prone Skin",Butter,,,"Moisturising,Emollient,Occlusive,Hydrating,Soothing,Calming,Smoothing","Dry,Fine dehydration lines,Flaking,Scaling,Peeling,Appears & Feels Rough",,,,,,,,,,,,
MCT Oil,Caprylic/Capric Triglycerides,Yes,,AWO,,,Anhydrous,,Anhydrous base,,,,,,Not known,Light,Fast,,,,,,,,
Mica,,Yes,,,,,,Mature & Aging Skin,,,,Light reflecting particles,"Fine lines,Wrinkles",,NOT DONE YET,,,,,,,,,,
Myrrh Essential Oil,Commiphora myrrha,Yes,,,,,"Anhydrous,Emulsion","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin",Essential Oil,Base,Oil Soluble,,"Loss of firmness & tone,Enlarged pores,Predisposed to acne","Pregnancy,breastfeeding or nursing",Do not use during pregnancy,,,,,,,"May support healing - 
Sunspot visibility -
Wrinkle visibility - 

- Leem, Kang-Hyun. 2015. “Effects of Myrrh Extracts on the Anti-Wrinkle Activity and Anti Tyrosinase Activity in Hs68 Human Fibroblasts.” doi:10.14257/astl.2015.104.37.",,,
Neroli,Citrus aurantium,,,,,,,,Essential Oil,,,"Cytophylactic,Antibacterial,Tissue & Cell Regeneration",,Not on children,Avoid on young children (under 4 y.o.),,,,,,,https://shop.newdirections.com.au/epages/newdirections.mobile/en_AU/?ObjectPath=/Shops/newdirections/Products/OE6NERO,"Add: cicatrisant, promotes healthy cell growth, cleanses and cleans, encourages glowing complexion",,
Niacinamide,,,,,,,,,Aqueous high performance,,,"Reduce pore size,Balance sebum production","Oily (overproduction of sebum),Enlarged pores",,,,,,,,,,,,
Olive,,,,,,,,"Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin","Carrier Oil,anhydrous base",,,"Moisturising,Emollient,Hydrating,Soothing,Antioxidant,Calming","Dry,Fine dehydration lines,Inflamed,Dry and/or flaky on some portions of skin",,NOT DONE YET,Medium,Medium,2,,,,,,,
Olive Squalane,Squalane (Olive) squalane,Yes,100,AWO,,No,"Anhydrous,Emulsion","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin","Humectant,aqueous high performance",,Oil Soluble,"Moisturising,Humectant,Hydrating,Soothing,Calming,Smoothing,Emollient,Hydrating,Age spot appearance reduction,Tissue & Cell Regeneration","Dry,Fine dehydration lines,Cracking,Fine dehydration lines,Cracking,Appears & Feels Rough,Wrinkles,Age spots,Skin cell regeneration/turnover slows down,Damage from sun/environment and lifestyle,Dehydrated,Eczema",,NOT DONE YET,Light,Fast,1,,,,"Molecules
www.mdpi.com/journal/molecules
Review
Biological and Pharmacological Activities of Squalene and Related Compounds: Potential Uses in Cosmetic Dermatology
Zih-Rou Huang 1, Yin-Ku Lin 2,3 and Jia-You Fang 1,*:
CONCLUSION: Squalene appears to be critical in reducing free radical oxidative damage to the skin. Although epidemiological, experimental, and animal evidence suggests antitumor properties, few human trials have been conducted to date to verify the role of squalene in cancer therapy. Further studies are needed to explore the usefulness of squalene for treating skin. Several implications can be drawn from this review. Squalene shows several advantages for skin tissues. It is also useful as a material in topically applied vehicles. Substances related to squalene such as β-carotene, coenzyme Q10, and vitamins A, E, and K also exhibit their benefits for skin physiology. Topical administration via the skin is an important route to supplement these compounds within skin tissues. The present success of squalene and its analogs shows the promise of further clinical trials for skin use.",,,
Olivemulse,"Cetearyl Olivate (Olive) , Sorbitan Olivate (Olive)",Yes,,ASS,,,Aqueous,,Emulsifier,,,,,,,,,,,,,,,,
Palm,,,,,,,,Dry Skin,Carrier Oil,,,Moisturising,,,,,Slow,4,,,,,,,
Palmarosa Essential Oil,Cymbopogon martinii (Palmarosa) essential oil,Yes,13,AWO,8014-19-5,,Anhydrous,"Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin,Normal Skin,Combination",Essential Oil,Top,Oil Soluble,"Moisturising,Emollient,Hydrating,Anti-inflammatory,Balance sebum production,Antibacterial,Smoothing,Tissue & Cell Regeneration,Softening,Promotes healthy skin growth","Inflamed,Irritated,Flaking,Scaling,Peeling,Oily (overproduction of sebum),Clogged pores/cell accumulation,Predisposed to acne,Skin cell regeneration/turnover slows down,Eczema",,No known contractindications,,,,,,,,,,
Panthenol (pro-vitamin B5),,,,,,,,"Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin",Aqueous high performance,,,"Moisturising,Humectant,Hydrating,Soothing,Calming,Smoothing","Dry,Fine dehydration lines,Cracking",,,,,,,,,,,,
Passion Fruit Oil,,,,,,,,Sensitive & Eczema Prone Skin,"Carrier Oil,anhydrous base",,,"Anti-inflammatory,Soothing,Calming","Inflamed,Irritated",,,,Fast,2,,,,,,,
Patchouli EO,Pogostemon cablin (Patchouli) Essential Oil,Yes,15,AWO,8014-09-03,No,"Anhydrous,Emulsion","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin",Essential Oil,Base,Oil Soluble,"Anti-inflammatory,Astringent (improves elasticity),Cytophylactic,Antiseptic","Dry,Wrinkles,Predisposed to acne,Eczema","Pregnant,breastfeeding or nursing,prescription drugs,phototoxic","Pregnant and nursing women and those taking prescription drugs are especially advised not to use Patchouli Essential Oil without the medical advice of a physician. The oil should always be stored in an area that is inaccessible to children, especially those under the age of 7.  Individuals who are recovering from illnesses or who suffer from eating disorders should avoid using Patchouli Essential Oil, as it can cause a loss of appetite.  When applied topically, Patchouli Essential Oil should be used in dilution and in small amounts, as using the oil directly or in high concentrations can potentially cause skin irritation. A skin test is recommended prior to use. This can be done by diluting the essential oil in a carrier oil and applying a small amount to a small area of skin that is not sensitive. Once applied topically, sun exposure should be avoided, as the oil may sensitize the skin to UV rays. Patchouli Oil must never be used near the eyes, inner nose, and ears, or on any other particularly sensitive areas of skin.",,,,,,,,"Patchoulol (27-35%)
Bulnesene (13-21%)
Alpha-Guaiene (11-16%)
Beta-Patchoulene (1.8-3.5%)
Beta-Caryophyllene (2-5%)
Pogostol (1-2.5%)
Norpatchoulenol (0.35-1%
Cpoaene (trace-1%)",,
Peach Kernel,,,,,,,,"Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin","Carrier Oil,anhydrous base",,,"Moisturising,Emollient",Inflamed,,,Light,Fast,2,,,,,,,
Peppermint Essential Oil,Mentha piperita (Peppermint) essential oil,Yes,,,8006-90-4,,,,Essential Oil,,,,,"Pregnancy,breastfeeding or nursing",,,,,,,,,,,
Pettigrain Essential Oil,,,,,,,,,Essential Oil,,,"Antibacterial,Antiseptic",Predisposed to acne,,,,,,,,,,,,
Phyllanthus Oil,,,,,,,,Dry Skin,Essential Oil,,,"Moisturising,Anti-inflammatory,Soothing","Itching,Redness",,,,,,,,,,,,
Plantaserv E,"Phenoxyethanol, Ethylhexylglycerin",Yes,,ND,,,,,Preservative,,,,,,None known,,,,,,,,,,
Plantaserv S,.5% Natural Preservative,,,ND,,,"Emulsion,Aqueous",,Preservative,,,,,"Pregnancy,breastfeeding or nursing","Origanum Vulgare Leaf Extract, Thymus Vulgaris Extract, Cinnamomum 
CONTAINS THE FOLLOWING INGREDIENTS - CHECK FOR CONTRAINDICATIONS: 
Zeylanicum Bark Extract, Rosmarinus Officinalis Leaf Extract, Lavandula Angustifolia Flower Extract, Citrus Limon Peel Extract, Mentha Piperita Leaf Extract, Hydrastis Canadensis Root Extract, Olea Europaea Leaf Extract",,,,,,,,,,
Pomegranate Oil,,,,,,,,,"Carrier Oil,anhydrous base",,,"Anti-inflammatory,Soothing,Antioxidant,Calming","Inflamed,Irritated,Predisposed to acne",,,Light,Medium,1,,,,"Skin density support - Aslam, M.N., Lansky, E.P., & Varani, J. (2006). Pomegranate as a cosmeceutical source: pomegranate fractions promote proliferation and procollagen synthesis and inhibit matrix metalloproteinase-1 production in human skin cells. Journal of Ethnopharmacology 103 3, 311-8.
Cell turnover support - Tamsyn SA Thring, Pauline Hili, Declan P Naughton. 2009. Anti-collagenase, anti-elastase and anti-oxidant activities of extracts from 21 plants. BMC Complementary and Alternative MedicineThe official journal of the International Society for Complementary Medicine Research (ISCMR)20099:27
Support during sun exposure - Hora, J.J.; Maydew, E.R.; Lansky, E.P.; Dwivedi, C. Chemopreventive effects of pomegranate seed oil on skin tumor development in CD1 mice. Med. Food2003, 6, 157–161.",,,
Prickly Pear Seed,,,,,,,,Sensitive & Eczema Prone Skin,"Carrier Oil,anhydrous base",,,"Anti-inflammatory,Soothing,Calming","Inflamed,Irritated",,,Light,Fast,2,,,,,,,
Pumpkin Seed Oil - Certified Organic,Cucurbita pepo (Pepitas) Seed Oil,Yes,,AWO,,No,"Anhydrous,Aqueous","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin,Normal Skin,Combination","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Hydrating,Anti-inflammatory,Soothing,Antioxidant","Inflamed,Irritated,Wrinkles,Loss of firmness & tone,Predisposed to acne",,None known,Medium,Medium,2,,,,,,,
Raspberry Seed Oil,Rubus idaeus (Raspberry) seed oil,,,,,,,Mature & Aging Skin,"Carrier Oil,anhydrous base",,,Antioxidant,"Dry,Fine dehydration lines",,NOT DONE YET,Medium,Medium,1,,,,,"Shelf life : 6 months - add vitamin E to prolong shelf life

To do:
Add sensitive skin
Occlusive? 
Ben - improves elasticity",,
Rose Floral Water,Rosa x damascena (Rose) floral water,Yes,,AWO,,Yes,Aqueous,,Aqueous base,,Water Soluble,,,"Pregnancy,breastfeeding or nursing",NOT DONE YET,,,,,,,,"Purified Water, Phenoxyethanol, Ethylhexylglycerin, Rose Bulgarian Absolute",,
Rose Geranium Essential Oil (Cosmetic Blend),Pelargonium graveolens (Rose Geranium) cosmetic blend,Yes,,AWO,,No,"Anhydrous,Emulsion","Sensitive & Eczema Prone Skin,Oily & Acne Prone Skin,Normal Skin",Essential Oil,Top,Oil Soluble,"Reduce pore size,Anti-inflammatory,Astringent (improves elasticity),Balance sebum production,Antibacterial","Inflamed,Oily (overproduction of sebum),Enlarged pores,Predisposed to acne","Pregnancy,breastfeeding or nursing",Avoid during pregnancy,,,,,,,,https://www.newdirectionsaromatics.com/blog/products/all-about-rose-geranium-oil.html,,
Rosehip Seed Oil,Rosa rubiginosa (Rosehip) oil (certified organic),Yes,,AWO,,,,"Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin,Combination","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Reduce pore size,Emollient,Hydrating,Antioxidant,Smoothing,Anti-aging","Fine dehydration lines,Fine lines,Oily (overproduction of sebum),Predisposed to acne,Excessive oil on some parts (possibly in T-zone),Eczema",,Can be used for people with High Blood Pressure,Light,Fast,1,,,,"Collagen promoting - Dayan N. Skin aging handbook: An Integrated Approach to Biochemistry and Product Development.New York: William Andrew Inc; 2008.
Supports inflammation regulation - Svobodová A, Psotová J, Walterová D. Natural phenolics in the prevention of UV- induced skin damage. Biomed Papers. 2003;147:137–45.
Eczema - Svobodová A, Psotová J, Walterová D. Natural phenolics in the prevention of UV- induced skin damage. Biomed Papers. 2003;147:137–45.","FA - alpha linoleic 
Vitamin F (O 3 & 6) 
Light and dry 
Fast absorption 
Shelf life : 6 months - 2-3 years with added Vitamin E
Vitamin A tretinoin
Ben - repair damaged skin, alleviate acne, reduce wrinkles, regenerating, repair, healing, softening
Eczema, psoriasis",,
Rosemary Essential Oil,Rosmarinus officinalis (Rosemary) essential oil,Yes,,,,,"Anhydrous,Emulsion",,Essential Oil,Middle,Oil Soluble,,"Age spots,Enlarged pores,Predisposed to acne","Epilepsy,pregnancy,breastfeeding or nursing,high blood pressure","Do not use during pregnancy.  

Unsuitable for people with high blood pressure and/or epilepsy.",,,,,,,"Review Article
Polyphenols as active ingredients for cosmetic products
O. V. Zillich*,†, U. Schweiggert-Weisz*, P. Eisner* and M. Kerscher†
Nevertherless, the beneficial effects in vitro as well as presented in vivo evidence demonstrate an enormous potential of polyphenolic extracts as active ingredients in topical applied products for the prevention and therapy of UV damages, skin ageing as well as cancer diseases.

https://shop.newdirections.com.au/epages/newdirections.mobile/en_AU/?ObjectPath=/Shops/newdirections/Products/OE6ROSMARYAU",,,
Safflower,,,,,,,,,"Carrier Oil,anhydrous base",,,"Moisturising,Emollient,Hydrating,Soothing,Calming","Dry,Fine dehydration lines",,,Light,,0,,,,,,,
Salicylic Acid (derived from Willowbark Tree is most natural form),,,,,,,,,Aqueous high performance,,,"Anti-inflammatory,Exfoliating","Clogged pores/cell accumulation,Enlarged pores,Predisposed to acne",,,,,,,,,,,,
Sandalwood Essential Oil,Santalum spicatum (Sandalwood) essential oil,Yes,,AWO,,,Anhydrous,"Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin,Normal Skin,Combination",Essential Oil,Base,Oil Soluble,"Emollient,Hydrating,Anti-inflammatory,Soothing,Antiseptic,Nourishing,Protecting,Calming,Smoothing,Softening","Inflamed,Irritated",,No known contraindications,,,,,,,,,,
Sea Buckthorn CO2 Oil,Hippophae rhamnoides (Sea Buckthorn) CO2 Oil,Yes,,,,,,"Mature & Aging Skin,Combination","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Emollient,Hydrating,Antioxidant,Smoothing","Dry,Flaking,Scaling,Peeling,Appears & Feels Rough,Itching,Redness,Loss of firmness & tone,Scarring,Tightness,Dry and/or flaky on some portions of skin",,NOT DONE YET,Heavy,Medium,1,,,,"Tropical Journal of Pharmaceutical Research December 2012; 11 (6): 955-962
Anti-Aging Effects of Hippophae rhamnoides Emulsion on Human Skin
Barkat Ali Khan1*, Naveed Akhtar1 and Valdir A Braga2
Conclusion: The topical antioxidant emulsion of H. rhamnoides significantly improved skin biomechanical parameters after 7 weeks of treatment. The data obtained suggest that H. rhamnoides could be an alternative pharmacological tool for treating age-related loss of skin elasticity.

Skin softening - Koskovac, M., Cupara, S., Kipic, M., Barjaktarevic, A., Milovanovic, O., Kojicic, K., & Markovic, M. (2017). Sea Buckthorn Oil—A Valuable Source for Cosmeceuticals. Cosmetics, 4(4), 40. 
Support during sun exposure - Korać, Radavar, and Kapilm Khambholja. 2011. “Potential of Herbs in Skin Protection from Ultraviolet Radiation.” Pharmacognosy Reviews 5 (10): 164. doi:10.4103/0973-7847.91114. 
Tissue regeneration support - Zhao, Y., 1994. Clinical effects of Hippophae seed oil in the treatment of 32 burn cases. Hippophae, 7: 36-37.",,,
Sea Lettuce,,,,,,,,Dry Skin,,,,"Moisturising,Anti-inflammatory,Soothing","Itching,Redness",,,,,,,,,,,,
Sesame Oil,,,,,,,,,"Carrier Oil,anhydrous base",,,"Moisturising,Emollient,Hydrating,Smoothing","Flaking,Scaling,Peeling",,,Medium,Medium,3,,,,,,,
Shea Butter,Butyrospermum Parkii,Yes,,,,,,"Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin",Butter,,Oil Soluble,"Moisturising,Emollient,Occlusive,Hydrating,Anti-inflammatory,Soothing,Calming,Smoothing","Dry,Fine dehydration lines,Flaking,Scaling,Peeling,Appears & Feels Rough,Itching,Redness",,NOT DONE YET,,,,,,,,,,
Sodium Lactate,,,,,,,,"Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin",,,,"Moisturising,Humectant,Hydrating,Soothing,Calming,Smoothing","Dry,Fine dehydration lines,Cracking",,,,,,,,,,,,
Soybean,,,,,,,,"Dry Skin,Sensitive & Eczema Prone Skin","Carrier Oil,anhydrous base",,,"Moisturising,Emollient,Hydrating,Soothing,Calming","Dry,Fine dehydration lines",,,,Medium,,,,,,,,
Spearmint Essential Oil,Metha spicata (Spearmint) oil 100% pure essential oil,Yes,100,SEOC,8008-79-5,No,"Anhydrous,Emulsion",,Essential Oil,Top,Oil Soluble,,,,Low risk skin sensitisation,,,,,,,,,,
Spikenard Egypt,Nardostachys jatamansi (Spikenard) essential oil Egypt,Yes,,,,Yes,"Anhydrous,Emulsion","Sensitive & Eczema Prone Skin,Mature & Aging Skin",Essential Oil,Base,Oil Soluble,"Anti-inflammatory,Promote brightening,Antibacterial,Anti-aging",Dull complexion,"Pregnancy,breastfeeding or nursing",Do not use when pregnant,,,,,,,,,,
Sunflower Seed Oil,,,,,,,,,"Carrier Oil,anhydrous base",,,,"Eczema,Inflamed,Fine lines,Wrinkles",,,Light,,0,,,,,,,
Sweet Almond Oil,Prunus Amygdalus Dulcis (Almond) Oil and Vegetable Oils,Yes,,AWO,,,Anhydrous,"Dry Skin,Mature & Aging Skin","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Emollient","Dry,Inflamed,Flaking,Scaling,Peeling,Itching,Redness,Scarring,Tightness,Dry and/or flaky on some portions of skin",Nut allergy,Nut Oil,Medium,Medium,2,,,,"Review Article
Polyphenols as active ingredients for cosmetic products
O. V. Zillich*,†, U. Schweiggert-Weisz*, P. Eisner* and M. Kerscher†
Nevertherless, the beneficial effects in vitro as well as presented in vivo evidence demonstrate an enormous potential of polyphenolic extracts as active ingredients in topical applied products for the prevention and therapy of UV damages, skin ageing as well as cancer diseases.

Stretch mark support - Jamileh Malakouti, Azizeh Farshbaf Khalili and Atefeh Kamrani, Sesame, Sweet Almond & Sesame and Sweet Almond Oil for the Prevention of Striae in Primiparous Fe-males: A Triple-Blind Randomized Controlled Trial, Iranian Red Crescent Medical Journal, 19, 6, (2016).
Photo-aging support - Zeeshan Ahmad, The uses and properties of almond oil, Complementary Therapies in Clinical Practice, 16, 1, (10), (2010).
Skin softening - Ahmad, Z. “The uses and properties of almond oil.” Complementary therapies in clinical practice 16.1 (2010): 10.",,,
Sweet Orange Essential Oil,Citrus sinensis (Sweet Orange) 100% pure essential oil,Yes,,AWO,8028-48-6,No,"Anhydrous,Emulsion",,Essential Oil,Top,Oil Soluble,,,Phototoxic,Phototoxic,,,,,,,,,,
Tea Tree Essential Oil,,Yes,,,68647-73-4,,"Anhydrous,Emulsion",,Essential Oil,Top,Oil Soluble,"Anti-inflammatory,Antibacterial,Antiseptic","Inflamed,Irritated,Itching,Redness,Predisposed to acne",,No known contraindications,,,,,,,,,,
Thyme,Thymus vulgaris (Thyme) essential oil,Yes,15,EA,8007-46-3,,,,Essential Oil,,,,,"Pregnancy,breastfeeding or nursing,irritant,high blood pressure",,,,,,,,"Review Article
Polyphenols as active ingredients for cosmetic products
O. V. Zillich*,†, U. Schweiggert-Weisz*, P. Eisner* and M. Kerscher†
Nevertherless, the beneficial effects in vitro as well as presented in vivo evidence demonstrate an enormous potential of polyphenolic extracts as active ingredients in topical applied products for the prevention and therapy of UV damages, skin ageing as well as cancer diseases.",,,
Turmeric Root,,,,,,,,Mature & Aging Skin,,,,"Anti-inflammatory,Antioxidant,Promote brightening",Dull complexion,,,,,,,,,,,,
Vitamin B3 Niacinamide,,,,,,,,Mature & Aging Skin,Aqueous high performance,,,Age spot appearance reduction,Age spots,,,,,,,,,,,,
